frame,numero_pers,distance_x,distance_y,distance_z,zone_jeu,num_tracking,num_point,winner
0,0,-100.416015625,191.75067138671875,74,h5,9,0,MA-LONG
0,1,72.07794189453125,-122.94302368164062,74,g4,11,0,MA-LONG
1,0,-100.416015625,191.75067138671875,74,h5,9,0,MA-LONG
1,1,72.0579833984375,-124.26699829101562,74,g4,11,0,MA-LONG
2,0,-100.416015625,191.75067138671875,74,h5,9,0,MA-LONG
2,1,72.01800537109375,-126.914306640625,74,g4,11,0,MA-LONG
3,0,-100.407470703125,193.3624267578125,74,h5,9,0,MA-LONG
3,1,71.998046875,-128.2376708984375,74,g4,11,0,MA-LONG
4,0,-100.407470703125,193.3624267578125,74,h5,9,0,MA-LONG
4,1,74.78411865234375,-126.6124267578125,74,g4,11,0,MA-LONG
5,0,-100.407470703125,193.3624267578125,74,h5,9,0,MA-LONG
5,1,74.78411865234375,-126.6124267578125,74,g4,11,0,MA-LONG
6,0,-100.407470703125,193.3624267578125,74,h5,9,0,MA-LONG
6,1,74.78411865234375,-126.6124267578125,74,g4,11,0,MA-LONG
7,0,-100.407470703125,193.3624267578125,74,h5,9,0,MA-LONG
7,1,74.78411865234375,-126.6124267578125,74,g4,11,0,MA-LONG
8,0,-100.407470703125,193.3624267578125,74,h5,9,0,MA-LONG
8,1,72.01800537109375,-126.914306640625,74,g4,11,0,MA-LONG
9,0,-100.416015625,191.75067138671875,74,h5,9,0,MA-LONG
9,1,74.80426025390625,-125.29248046875,74,g4,11,0,MA-LONG
10,0,-96.538818359375,191.05859375,74,h5,9,0,MA-LONG
10,1,74.8243408203125,-123.97238159179688,74,g4,11,0,MA-LONG
11,0,-100.416015625,191.75067138671875,74,h5,9,0,MA-LONG
11,1,74.8243408203125,-123.97238159179688,74,g4,11,0,MA-LONG
12,0,-100.416015625,191.75067138671875,74,h5,9,0,MA-LONG
12,1,77.57550048828125,-123.67938232421875,74,h3,11,0,MA-LONG
13,0,-96.538818359375,191.05859375,74,h5,9,0,MA-LONG
13,1,74.8243408203125,-123.97238159179688,74,g4,11,0,MA-LONG
14,0,-96.538818359375,191.05859375,74,h5,9,0,MA-LONG
14,1,74.8243408203125,-123.97238159179688,74,g4,11,0,MA-LONG
15,0,-96.54766845703125,189.45245361328125,74,h5,9,0,MA-LONG
15,1,77.59576416015625,-122.3626708984375,74,h3,11,0,MA-LONG
16,0,-96.54766845703125,189.45245361328125,74,h5,9,0,MA-LONG
16,1,77.59576416015625,-122.3626708984375,74,h3,11,0,MA-LONG
17,0,-96.54766845703125,189.45245361328125,74,h5,9,0,MA-LONG
17,1,77.59576416015625,-122.3626708984375,74,h3,11,0,MA-LONG
18,0,-96.54766845703125,189.45245361328125,74,h5,9,0,MA-LONG
18,1,77.59576416015625,-122.3626708984375,74,h3,11,0,MA-LONG
19,0,-96.54766845703125,189.45245361328125,74,h5,9,0,MA-LONG
19,1,80.33197021484375,-122.07489013671875,74,h3,11,0,MA-LONG
20,0,-96.55657958984375,187.84661865234375,74,h5,9,0,MA-LONG
20,1,80.33197021484375,-122.07489013671875,74,h3,11,0,MA-LONG
21,0,-96.56097412109375,187.0438232421875,74,h5,9,0,MA-LONG
21,1,83.0531005859375,-121.78866577148438,74,h3,11,0,MA-LONG
22,0,-96.55657958984375,187.84661865234375,74,h5,9,0,MA-LONG
22,1,91.1278076171875,-120.93939208984375,74,h3,11,0,MA-LONG
23,0,-100.43316650390625,188.52789306640625,74,h5,9,0,MA-LONG
23,1,99.07183837890625,-120.10385131835938,74,h3,11,0,MA-LONG
24,0,-112.21868896484375,190.59906005859375,74,h5,9,0,MA-LONG
24,1,99.07183837890625,-120.10385131835938,74,h3,11,0,MA-LONG
25,0,-112.21868896484375,190.59906005859375,74,h5,9,0,MA-LONG
25,1,101.69134521484375,-119.82833862304688,74,h3,11,0,MA-LONG
26,0,-116.20001220703125,191.2987060546875,74,h5,9,0,MA-LONG
26,1,101.66986083984375,-121.11334228515625,74,h3,11,0,MA-LONG
27,0,-120.20123291015625,193.64178466796875,74,h5,9,0,MA-LONG
27,1,101.6483154296875,-122.39816284179688,74,h3,11,0,MA-LONG
28,0,-124.23028564453125,196.00115966796875,74,h5,9,0,MA-LONG
28,1,101.6483154296875,-122.39816284179688,74,h3,11,0,MA-LONG
29,0,-124.22369384765625,197.64605712890625,74,h5,9,0,MA-LONG
29,1,101.6268310546875,-123.68280029296875,74,h3,11,0,MA-LONG
30,0,-120.18048095703125,198.5596923828125,74,h5,9,0,MA-LONG
30,1,101.60528564453125,-124.96725463867188,74,h3,11,0,MA-LONG
31,0,-120.18048095703125,198.5596923828125,74,h5,9,0,MA-LONG
31,1,101.58380126953125,-126.25152587890625,74,h3,11,0,MA-LONG
32,0,-116.1710205078125,197.8330078125,74,h5,9,0,MA-LONG
32,1,101.58380126953125,-126.25152587890625,74,h3,11,0,MA-LONG
33,0,-116.1710205078125,197.8330078125,74,h5,9,0,MA-LONG
33,1,101.56231689453125,-127.53561401367188,74,h3,11,0,MA-LONG
34,0,-112.1883544921875,197.1112060546875,74,h5,9,0,MA-LONG
34,1,101.56231689453125,-127.53561401367188,74,h3,11,0,MA-LONG
35,0,-108.240234375,194.771240234375,74,h5,9,0,MA-LONG
35,1,98.94354248046875,-127.831787109375,74,h3,11,0,MA-LONG
36,0,-112.1959228515625,195.48272705078125,74,h5,9,0,MA-LONG
36,1,98.94354248046875,-127.831787109375,74,h3,11,0,MA-LONG
37,0,-116.18548583984375,194.56524658203125,74,h5,9,0,MA-LONG
37,1,101.56231689453125,-127.53561401367188,74,h3,11,0,MA-LONG
38,0,-116.1927490234375,192.93182373046875,74,h5,9,0,MA-LONG
38,1,98.932861328125,-128.4754638671875,74,h3,11,0,MA-LONG
39,0,-112.22247314453125,189.78533935546875,74,h5,9,0,MA-LONG
39,1,101.540771484375,-128.81951904296875,74,h3,11,0,MA-LONG
40,0,-112.2376708984375,186.53131103515625,74,h5,9,0,MA-LONG
40,1,101.540771484375,-128.81951904296875,74,h3,11,0,MA-LONG
41,0,-112.2452392578125,184.90472412109375,74,h5,9,0,MA-LONG
41,1,104.14532470703125,-128.521484375,74,h3,11,0,MA-LONG
42,0,-108.2916259765625,184.22894287109375,74,h5,9,0,MA-LONG
42,1,106.72509765625,-128.86355590820312,74,h3,11,0,MA-LONG
43,0,-116.2398681640625,182.32171630859375,74,h4,9,0,MA-LONG
43,1,114.40325927734375,-128.612060546875,74,h3,11,0,MA-LONG
44,0,-124.31890869140625,173.8240966796875,74,h4,9,0,MA-LONG
44,1,116.90576171875,-130.21340942382812,74,h3,11,0,MA-LONG
45,0,-128.3775634765625,174.4732666015625,74,i4,9,0,MA-LONG
45,1,119.33868408203125,-134.9542236328125,74,h3,11,0,MA-LONG
46,0,-132.47552490234375,171.82342529296875,74,i4,9,0,MA-LONG
46,1,116.79461669921875,-136.52667236328125,74,h3,11,0,MA-LONG
47,0,-136.616455078125,164.1883544921875,74,i4,9,0,MA-LONG
47,1,101.336669921875,-141.00729370117188,74,h4,11,0,MA-LONG
48,0,-136.6219482421875,162.53289794921875,74,i4,9,0,MA-LONG
48,1,95.9818115234375,-148.11587524414062,74,h4,11,0,MA-LONG
49,0,-136.62744140625,160.87774658203125,74,i4,9,0,MA-LONG
49,1,95.96063232421875,-149.40377807617188,74,h4,11,0,MA-LONG
50,0,-128.44580078125,156.38140869140625,74,i4,9,0,MA-LONG
50,1,82.5296630859375,-155.1214599609375,74,h4,11,0,MA-LONG
51,0,-128.46746826171875,150.63250732421875,74,i4,9,0,MA-LONG
51,1,79.71051025390625,-162.03756713867188,74,h4,11,0,MA-LONG
52,0,-124.42041015625,148.4283447265625,74,h4,9,0,MA-LONG
52,1,71.4202880859375,-166.52987670898438,74,g4,11,0,MA-LONG
53,0,-124.42041015625,148.4283447265625,74,h4,9,0,MA-LONG
53,1,69.93475341796875,-173.33047485351562,74,g4,11,0,MA-LONG
54,0,-120.39434814453125,147.86981201171875,74,h4,9,0,MA-LONG
54,1,58.59088134765625,-183.0677490234375,74,g5,11,0,MA-LONG
55,0,-116.39532470703125,147.3150634765625,74,h4,9,0,MA-LONG
55,1,55.688232421875,-187.5374755859375,74,g5,11,0,MA-LONG
56,0,-104.56561279296875,144.064208984375,74,h4,9,0,MA-LONG
56,1,55.6502685546875,-190.20693969726562,74,g5,11,0,MA-LONG
57,0,-96.7955322265625,144.5960693359375,74,h4,9,0,MA-LONG
57,1,55.56488037109375,-196.2103271484375,74,g5,11,0,MA-LONG
58,0,-96.7955322265625,144.5960693359375,74,h4,9,0,MA-LONG
58,1,58.36126708984375,-199.03546142578125,74,g5,11,0,MA-LONG
59,0,-92.95281982421875,144.06298828125,74,h4,9,0,MA-LONG
59,1,55.43218994140625,-205.5408935546875,74,g5,11,0,MA-LONG
60,0,-75.910888671875,150.34234619140625,74,g4,9,0,MA-LONG
60,1,49.660888671875,-209.27853393554688,74,g5,11,0,MA-LONG
61,0,-72.19122314453125,151.36578369140625,74,g4,9,0,MA-LONG
61,1,37.96197509765625,-214.17068481445312,74,g5,11,0,MA-LONG
62,0,-61.182861328125,152.84637451171875,74,g4,9,0,MA-LONG
62,1,31.97821044921875,-219.380615234375,74,g5,11,0,MA-LONG
63,0,-39.7769775390625,155.72540283203125,74,g4,9,0,MA-LONG
63,1,28.97027587890625,-221.32485961914062,74,g5,11,0,MA-LONG
64,0,-36.26812744140625,158.21954345703125,74,g4,9,0,MA-LONG
64,1,31.943115234375,-222.1021728515625,74,g5,11,0,MA-LONG
65,0,-36.26812744140625,158.21954345703125,74,g4,9,0,MA-LONG
65,1,31.960693359375,-220.74151611328125,74,g5,11,0,MA-LONG
66,0,-32.79376220703125,159.1846923828125,74,g4,9,0,MA-LONG
66,1,37.8544921875,-222.29058837890625,74,g5,11,0,MA-LONG
67,0,-39.7109375,163.34320068359375,74,g4,9,0,MA-LONG
67,1,40.793701171875,-221.70956420898438,74,g5,11,0,MA-LONG
68,0,-43.20306396484375,165.442626953125,74,g4,9,0,MA-LONG
68,1,49.437744140625,-225.3350372314453,74,g5,11,0,MA-LONG
69,0,-61.0316162109375,173.03668212890625,74,g4,9,0,MA-LONG
69,1,57.969970703125,-226.24729919433594,74,g5,11,0,MA-LONG
70,0,-68.317626953125,177.39630126953125,74,g4,9,0,MA-LONG
70,1,60.79461669921875,-225.66683959960938,74,g5,11,0,MA-LONG
71,0,-68.317626953125,177.39630126953125,74,g4,9,0,MA-LONG
71,1,71.91796875,-224.68418884277344,74,g5,11,0,MA-LONG
72,0,-71.980712890625,181.95440673828125,74,g4,9,0,MA-LONG
72,1,73.31341552734375,-223.09423828125,74,g5,11,0,MA-LONG
73,0,-68.2454833984375,187.5777587890625,74,g5,9,0,MA-LONG
73,1,76.073486328125,-221.22903442382812,74,h5,11,0,MA-LONG
74,0,-68.2232666015625,190.71282958984375,74,g5,9,0,MA-LONG
74,1,76.15374755859375,-216.01861572265625,74,h5,11,0,MA-LONG
75,0,-68.15655517578125,200.12457275390625,74,g5,9,0,MA-LONG
75,1,76.1336669921875,-217.321533203125,74,h5,11,0,MA-LONG
76,0,-75.537353515625,206.27984619140625,74,g5,9,0,MA-LONG
76,1,78.85931396484375,-216.77560424804688,74,h5,11,0,MA-LONG
77,0,-81.1109619140625,215.3221435546875,74,h5,9,0,MA-LONG
77,1,76.1336669921875,-217.321533203125,74,h5,11,0,MA-LONG
78,0,-84.892578125,216.08563232421875,74,h5,9,0,MA-LONG
78,1,73.39306640625,-217.87042236328125,74,g5,11,0,MA-LONG
79,0,-81.100830078125,216.912109375,74,h5,9,0,MA-LONG
79,1,69.21441650390625,-221.32247924804688,74,g5,11,0,MA-LONG
80,0,-68.01739501953125,219.76373291015625,74,g5,9,0,MA-LONG
80,1,57.95086669921875,-227.57257080078125,74,g5,11,0,MA-LONG
81,0,-64.30908203125,223.7034912109375,74,g5,9,0,MA-LONG
81,1,46.46588134765625,-231.95167541503906,74,g6,11,0,MA-LONG
82,0,-49.8184814453125,223.73028564453125,74,g5,9,0,MA-LONG
82,1,34.71240234375,-237.10693359375,74,g6,11,0,MA-LONG
83,0,-49.75579833984375,231.47772216796875,74,g6,9,0,MA-LONG
83,1,34.6416015625,-242.5226287841797,74,g6,11,0,MA-LONG
84,0,-42.6434326171875,231.44256591796875,74,g6,9,0,MA-LONG
84,1,31.65374755859375,-244.5231170654297,74,g6,11,0,MA-LONG
85,0,-46.156494140625,235.32415771484375,74,g6,9,0,MA-LONG
85,1,31.65374755859375,-244.5231170654297,74,g6,11,0,MA-LONG
86,0,-39.00714111328125,244.48785400390625,74,g6,9,0,MA-LONG
86,1,31.63623046875,-245.88014221191406,74,g6,11,0,MA-LONG
87,0,-35.49700927734375,245.19659423828125,74,g6,9,0,MA-LONG
87,1,28.6318359375,-247.89541625976562,74,g6,11,0,MA-LONG
88,0,-28.505615234375,250.41204833984375,74,g6,9,0,MA-LONG
88,1,25.57635498046875,-252.64996337890625,74,g6,11,0,MA-LONG
89,0,-18.2415771484375,250.942138671875,74,m6,9,0,MA-LONG
89,1,25.54205322265625,-255.37710571289062,74,g6,11,0,MA-LONG
90,0,-14.8416748046875,253.125244140625,74,m6,9,0,MA-LONG
90,1,28.52789306640625,-256.05494689941406,74,g6,11,0,MA-LONG
